,Area,Perimeter,MajorAxisLength,MinorAxisLength,ConvexArea,EquivDiameter,roundness,ShapeFactor1,
[,60736,985.501,342.4453022,226.7417755,61680,278.0853772,0.785854079,0.005638259,]
[,60756,982.65,352.9421998,219.8903051,61871,278.1311593,0.790681032,0.005809174,]
[,60813,944.042,359.5404964,215.8900137,61634,278.2615971,0.85747933,0.005912231,]
[,60874,921.145,310.3337608,250.9693725,61578,278.4011208,0.901541464,0.005097969,]
[,60880,970.236,354.037596,219.7636533,61670,278.4148406,0.812699024,0.005815335,]
[,60918,939.729,347.6327034,223.8423141,61747,278.5017174,0.866862552,0.005706568,]
[,60946,967.849,366.2428097,212.2274488,61813,278.5657145,0.817598075,0.0060093,]
[,60993,958.347,356.7469483,218.0096636,61892,278.6731052,0.834534478,0.005848982,]
[,61013,943.385,336.5838735,231.2578523,61950,278.7187908,0.861498073,0.005516593,]
[,61055,977.927,346.6179887,226.6670806,62594,278.8147062,0.802265702,0.005677143,]
[,61076,957.031,333.4937704,234.1825072,61989,278.8626516,0.837969939,0.005460308,]
[,61137,978.126,345.9099994,225.7362626,62582,279.0018746,0.803016338,0.005657949,]
[,61142,1024.175,361.2581014,216.1530585,62247,279.0132833,0.732489095,0.00590851,]
[,61152,982.982,334.0246392,233.8137192,62351,279.0360992,0.7952971,0.005462203,]
[,61153,988.076,330.529591,236.1084807,62432,279.0383807,0.787130843,0.005404961,]
[,61206,1003.509,359.4550303,219.1963153,62918,279.1592728,0.763767753,0.005872872,]
[,61247,967.954,348.5079955,224.2208282,62253,279.2527572,0.82145778,0.005690205,]
[,61254,961.239,347.3497104,224.9855621,62242,279.2687148,0.83307011,0.005670645,]
[,61274,1025.583,350.3676822,223.705965,62720,279.314303,0.732056278,0.005718048,]
[,61301,984.768,333.1379766,234.9036252,62463,279.3758353,0.794345734,0.005434462,]
[,61302,957.18,335.8778011,232.8607657,62348,279.378114,0.840808855,0.005479068,]
[,61320,971.046,339.1516004,230.9590196,62409,279.4191276,0.817207611,0.005530848,]
[,61333,952.52,355.964311,220.2620983,62227,279.4487448,0.849485295,0.005803797,]
[,61348,949.061,356.9393556,219.2460922,62159,279.4829147,0.855898014,0.005818272,]
[,61377,993.965,352.8614992,222.8756912,62512,279.5489645,0.78068051,0.005749084,]
[,138265,1396.139,512.8063507,345.1812989,139739,419.5765313,0.891383938,0.003708866,]
[,138659,1415.439,509.8275207,347.5854183,139826,420.1739188,0.869712301,0.003676844,]
[,138777,1403.006,502.613464,353.8114117,140144,420.3526666,0.885948143,0.003621735,]
[,138976,1404.377,509.4100768,351.6482864,140912,420.6539421,0.885487134,0.003665454,]
[,139523,1410.901,501.721529,354.9685707,140892,421.4809616,0.880770149,0.003595977,]
[,139639,1379.183,473.7805979,376.5502411,140541,421.6561357,0.922513655,0.003392896,]
[,139686,1402.293,508.6819485,350.946932,141092,421.7270907,0.892658229,0.00364161,]
[,139841,1430.241,524.8024563,341.3400849,141672,421.9610067,0.859064827,0.003752851,]
[,140313,1432.029,517.4259023,347.2543044,141966,422.6725213,0.85981328,0.003687655,]
[,140867,1414.336,500.3077756,360.1775879,142672,423.5061215,0.884940228,0.003551632,]
[,140964,1425.6,538.2389592,334.9105788,142173,423.651908,0.871611006,0.003818272,]
[,141385,1429.427,525.900924,344.3551184,143530,424.2840712,0.869539345,0.003719637,]
[,141519,1442.904,523.1006681,347.0957926,143783,424.4850847,0.854180672,0.003696328,]
[,141850,1432.847,524.9234707,346.9109201,143680,424.9812107,0.868239554,0.003700553,]
[,141953,1402.05,524.2311633,346.3974998,143704,425.1354762,0.907459885,0.003692991,]
[,142154,1378.113,501.7293744,361.6697526,143074,425.4363575,0.940587688,0.003529478,]
[,142238,1425.362,516.4426267,351.4148645,143764,425.5620359,0.879782154,0.003630834,]
[,142399,1430.275,524.5884123,347.2617724,143783,425.8028158,0.874737426,0.003683933,]
[,142592,1408.745,519.7756355,351.2923849,144325,426.0912733,0.90290124,0.003645195,]
[,143603,1405.207,516.0199144,356.2938031,145400,427.5991328,0.913887564,0.003593378,]
[,144058,1463.258,536.8875196,343.9628391,145734,428.2760119,0.845484073,0.003726884,]
[,144079,1462.012,534.5994627,346.3307358,146415,428.3072266,0.847049275,0.003710461,]
[,144083,1416.894,508.2398866,362.8229776,145241,428.313172,0.901878189,0.00352741,]
[,144404,1444.937,526.193572,350.8538321,145991,428.7900223,0.869143053,0.003643899,]
[,144458,1440.778,524.9804748,351.9433714,146010,428.870188,0.874494989,0.003634139,]
[,144704,1442.997,545.1107486,338.9575733,145929,429.2351979,0.873292125,0.003767075,]
[,145163,1449.277,535.8624458,346.3839439,146814,429.9154243,0.868486354,0.003691453,]
[,145285,1440.991,524.9567463,353.0769977,146709,430.0960442,0.879241351,0.003613289,]
[,145339,1465.758,543.2584514,342.4687548,147256,430.1759665,0.850095046,0.003737871,]
[,145886,1438.541,539.4266472,345.674977,147342,430.9847146,0.885888353,0.00369759,]
[,146007,1466.009,530.0595389,353.3292622,147648,431.1634101,0.853709804,0.003630371,]
[,146015,1454.654,540.1550175,346.0038751,147529,431.1752221,0.867137416,0.003699312,]
[,146153,1476.383,526.1933264,356.528288,149267,431.3789276,0.842596259,0.003600291,]
[,146154,1460.105,540.3383352,346.7667545,148196,431.3804034,0.861494271,0.003697048,]
[,146328,1476.39,542.2816357,346.0504599,149274,431.6371116,0.843597164,0.003705932,]
[,146521,1478.21,528.247208,357.8235196,150261,431.9216727,0.842631065,0.003605266,]
[,146618,1460.102,551.0396701,340.3802019,148342,432.0646197,0.864232837,0.003758336,]
[,146862,1422.934,534.4641251,352.7566956,148492,432.4239887,0.911485552,0.003639227,]
[,146976,1463.469,540.3445699,347.6428835,148762,432.5917883,0.862361249,0.003676414,]
[,147030,1444.299,532.8676944,352.3069045,148198,432.6712496,0.885730501,0.003624211,]
[,147044,1438.437,527.3416878,356.5589039,148317,432.6918483,0.893049396,0.003586285,]
[,147218,1459.129,531.2387,353.5033198,148914,432.9477789,0.868927214,0.003608517,]
[,147288,1469.066,560.8730875,336.8898228,149204,433.0506969,0.857619434,0.003808003,]
[,147827,1452.182,541.3785204,349.7474326,148921,433.8423471,0.880889694,0.003662244,]
[,147930,1439.844,519.3579714,364.7947757,149429,433.9934629,0.896675367,0.003510836,]
[,148325,1454.931,549.7336941,344.9498497,149846,434.5724974,0.880520408,0.003706278,]
[,148827,1503.932,532.8745985,364.5403018,153846,435.3072728,0.826866108,0.003580497,]
[,148931,1403.498,496.1268755,382.8269939,149919,435.4593421,0.950104496,0.003331253,]
[,149231,1447.234,537.3857065,354.9290902,150684,435.8977065,0.895347034,0.003601033,]
[,149264,1501.818,581.2359196,329.4838723,151608,435.9458996,0.831630348,0.003894013,]
[,149462,1505.818,564.9686079,341.4807662,152402,436.2349468,0.828315303,0.003780015,]
[,149824,1454.249,532.7822258,359.670821,151188,436.7629123,0.890253529,0.003556054,]
[,149941,1485.141,563.7178471,342.7112691,152636,436.9334166,0.854269481,0.003759598,]
[,150168,1474.752,548.3763466,351.4324088,151809,437.2640346,0.867659394,0.003651752,]
[,150169,1496.077,562.8234368,342.7948749,151971,437.2654905,0.843106155,0.003747934,]
[,150467,1474.074,525.8869356,366.7114136,152958,437.6991371,0.870186926,0.003495032,]
[,150648,1489.751,511.9428366,379.2845314,153091,437.9623168,0.852993778,0.003398272,]
[,150664,1500.495,582.4382025,332.045178,152581,437.9855737,0.840911423,0.003865809,]
[,150738,1465.681,532.787063,361.850791,152131,438.0931208,0.881766706,0.003534524,]
[,151012,1488.97,557.4054506,349.6737795,153816,438.4911061,0.855952034,0.003691133,]
[,151014,1456.767,532.7407511,362.5523583,152434,438.4940098,0.894225161,0.003527757,]
[,151091,1464.044,536.354184,361.5721968,153478,438.6057866,0.88580923,0.003549875,]
[,151590,1499.481,569.2305202,341.2910881,153708,439.3294693,0.847224454,0.003755066,]
[,151876,1469.108,541.2123601,359.4783618,153869,439.7437084,0.884283593,0.003563515,]
[,152063,1455.551,524.784869,371.247487,153860,440.0143462,0.901941903,0.003451102,]
[,152089,1489.976,553.2596944,353.3888462,154964,440.0519618,0.860892893,0.003637736,]
[,152533,1504.648,548.8942349,354.891811,154915,440.6938251,0.846649881,0.003598528,]
[,152816,1455.529,537.150888,365.6273941,154914,441.1024533,0.906435626,0.003515017,]
[,152869,1475.473,537.207402,365.4009172,154271,441.1789387,0.882402552,0.003514168,]
[,152884,1469.576,523.1943401,374.4005792,154335,441.2005831,0.889585713,0.003422165,]
[,152952,1477.762,522.9554346,375.9039206,155498,441.2986912,0.880148666,0.003419082,]
[,153075,1456.617,522.3663458,374.7944989,154335,441.476096,0.906616009,0.003412486,]
[,153237,1527.853,573.8191367,342.735575,155159,441.7096423,0.824917207,0.003744651,]
[,153261,1457.451,542.0882389,362.1338272,154519,441.7442313,0.906679077,0.003537027,]
[,153287,1484.785,534.7542054,368.3810922,155347,441.7816996,0.873751724,0.003488582,]
[,153644,1506.502,559.4930681,354.4902247,157005,442.2958474,0.850718827,0.00364149,]
[,153885,1491.351,573.3714139,343.8445245,156047,442.6425955,0.869453607,0.003725973,]
[,153971,1476.91,543.4833657,362.8924628,155410,442.7662656,0.887034951,0.003529777,]
[,154029,1525.752,567.6990173,350.4823129,157183,442.8496515,0.831465941,0.003685663,]
[,154160,1479.127,540.3809223,365.0610147,155782,443.0379309,0.885463444,0.003505325,]
[,154364,1481.35,556.1528852,353.8528242,155283,443.3309701,0.883976102,0.003602867,]
[,154568,1481.09,526.7970164,375.0376977,156202,443.6238158,0.885455117,0.003408189,]
[,154706,1468.379,532.9548716,371.069678,156085,443.8218077,0.901655615,0.003444953,]
[,154721,1475.51,538.8861415,367.7969602,155903,443.8433233,0.893048023,0.003482954,]
[,154727,1478.08,550.0082402,358.9115247,156062,443.8519292,0.889979674,0.003554701,]
[,154772,1499.695,571.5532443,347.1984701,156330,443.9164683,0.864761551,0.003692872,]
[,154875,1532.26,580.3288416,343.3166651,157383,444.0641558,0.828946028,0.003747079,]
[,155088,1485.027,526.9150884,375.6879369,156676,444.3694122,0.883729515,0.003397523,]
[,155247,1508.453,569.6478553,350.8270512,157360,444.597143,0.857372431,0.0036693,]
[,155333,1491.933,564.3184252,352.0819275,156942,444.7202696,0.876950245,0.003632959,]
[,155439,1530.105,571.898425,351.3914853,158204,444.8719834,0.834309885,0.003679247,]
[,155524,1523.825,559.7562847,360.2629506,159126,444.9936033,0.841660785,0.003599163,]
[,155913,1510.721,574.9772165,347.1721053,157587,445.5497695,0.858467108,0.003687808,]
[,155917,1507.244,553.8696768,361.7394028,158297,445.5554849,0.862454528,0.003552337,]
[,156041,1480.302,540.3492309,370.2427825,157801,445.7326237,0.89484525,0.003462867,]
[,156138,1492.597,544.8096146,365.6894891,157649,445.8711429,0.880710851,0.003489283,]
[,156182,1527.693,552.8045062,360.9709715,157988,445.9339621,0.840947079,0.003539489,]
[,156208,1462,518.8727299,385.1703268,157666,445.9710784,0.918371485,0.003321678,]
[,156250,1509.428,568.1211216,352.3572272,157716,446.031029,0.861797215,0.003635975,]
[,156343,1506.752,555.7075541,359.7475096,158163,446.1637481,0.865375812,0.003554413,]
[,156513,1500.447,569.2031874,352.8267399,157878,446.4062509,0.873612744,0.003636779,]
[,156593,1478.855,555.8219854,360.0328103,157868,446.5203243,0.899768988,0.003549469,]
[,156645,1504.799,569.848846,352.3202346,158624,446.5944564,0.869299467,0.003637836,]
[,156910,1480.479,541.9193789,370.567044,158236,446.9720539,0.89961354,0.003453696,]
[,66832,1016.277,396.1902317,217.0426707,67791,291.7072938,0.813148992,0.005928152,]
[,66833,1018.336,400.3970767,214.3462145,67787,291.7094762,0.80987618,0.005991009,]
[,66873,1002.723,381.9451177,225.9835719,69064,291.7967582,0.835792976,0.0057115,]
[,66874,1024.488,408.2395189,209.5480011,67877,291.7989399,0.800669736,0.006104607,]
[,66877,1003.152,391.0431802,219.5216171,67627,291.8054849,0.835128222,0.0058472,]
[,66942,1014.517,394.2578999,218.2104914,67661,291.9472583,0.817315791,0.005889545,]
[,66966,991.524,379.8820277,226.43575,68108,291.9995879,0.855968457,0.00567276,]
[,66967,997.021,388.6036138,221.1781139,68035,292.0017681,0.846568483,0.005802912,]
[,66972,986.094,368.1112827,232.4928928,67922,292.0126689,0.86549886,0.005496495,]
[,66973,1016.147,397.999741,217.2643649,68392,292.014849,0.815073059,0.005942689,]
[,66985,998.738,371.817398,230.6259584,68002,292.0410089,0.843886962,0.005550756,]
[,66990,1004.139,375.1813692,230.3418977,68239,292.0519082,0.834895599,0.005600558,]
[,66997,978.189,381.1363,226.2628141,68032,292.0671666,0.879872351,0.005688856,]
[,67013,974.899,357.4088587,240.1543992,67890,292.1020397,0.886032546,0.005333426,]
[,67031,977.642,370.5708826,232.0351282,67944,292.1412671,0.881304243,0.005528351,]
[,67044,981.016,376.8722117,228.2517453,67723,292.1695946,0.87542229,0.005621267,]
[,67055,1011.117,396.7678305,217.68541,68471,292.193562,0.82421062,0.005917051,]
[,67073,1006.501,384.2772958,224.2325555,68005,292.2327771,0.832011203,0.00572924,]
[,67087,1017.039,383.655235,223.3964339,67725,292.263274,0.815028924,0.005718772,]
[,67109,1017.317,397.4848582,218.4580783,68530,292.3111914,0.814850671,0.005922974,]
[,67184,987.838,373.104542,231.3668827,68131,292.474487,0.865175603,0.005553473,]
[,67194,1005.436,394.587499,218.724461,67865,292.4962529,0.835278873,0.005872362,]
[,67293,1019.205,399.0583156,215.6830818,68181,292.7116477,0.814060464,0.005930161,]
[,67336,1032.779,399.8204649,217.2274491,68914,292.8051536,0.793308999,0.005937693,]
[,67349,1002.202,385.164328,224.0565087,68119,292.833417,0.842617521,0.005718932,]
[,67360,998.54,391.0083959,220.7396397,68045,292.85733,0.848947843,0.005804756,]
[,67381,998.588,380.6815848,227.7026014,68676,292.9029767,0.849130871,0.005649687,]
[,67397,1000.63,385.2596558,225.6963263,68657,292.9377504,0.845869549,0.005716273,]
[,67407,990.057,386.6966178,223.5914566,68200,292.9594818,0.864160608,0.005736743,]
[,67422,987.36,384.0268967,225.8931572,68542,292.992076,0.869081364,0.005695869,]
[,67425,1007.262,397.798017,216.5017797,68000,292.9985944,0.835114297,0.005899859,]
[,67448,1012.2,386.0879006,223.8322172,68315,293.0485639,0.827268093,0.005724231,]
[,67455,1001.021,386.5975476,223.7845018,68436,293.0637703,0.845936246,0.005731192,]
[,67467,1011.524,393.3314773,220.0732498,68144,293.0898367,0.828607538,0.005829983,]
[,67483,1025.448,387.6268835,224.9648721,69557,293.1245882,0.806449098,0.005744067,]
[,67502,993.036,371.3870571,234.1842604,69374,293.1658502,0.860194217,0.005501867,]
[,67513,1021.125,389.4206598,224.0461152,69075,293.1897361,0.813653417,0.005768084,]
[,67523,1017.032,399.3029062,218.1168313,68784,293.2114489,0.820337109,0.005913584,]
[,67549,991.709,384.414407,224.2826694,68128,293.2678946,0.863098335,0.005690897,]
[,67569,1000.412,393.0703786,220.7569328,68609,293.311307,0.848397872,0.005817318,]
[,67573,1024.508,396.9407079,221.5445158,69713,293.3199887,0.809007144,0.00587425,]
[,67585,1014.517,379.4062232,229.8258426,69220,293.3460322,0.825166379,0.005613764,]
[,67591,999.739,380.5460002,228.0035415,68387,293.3590532,0.849817103,0.005630128,]
[,67593,992.946,392.317798,222.2408038,68881,293.3633933,0.861510004,0.005804119,]
[,67626,990.089,388.7851819,222.8892471,68420,293.434997,0.866912157,0.005749049,]
[,67666,982.672,379.873759,228.4246769,68581,293.5217659,0.880568621,0.005613953,]
[,67704,1000.748,388.251976,223.1687516,68428,293.6041725,0.849522196,0.00573455,]
[,67766,996.422,392.8938324,222.2367675,69060,293.7385759,0.857699388,0.005797802,]
[,67796,1020.867,404.659343,215.6127283,69042,293.8035878,0.817477117,0.005968779,]
[,67812,1029.053,387.4898408,225.0748206,69284,293.8382548,0.80471284,0.005714178,]
[,67844,1014.851,390.1263834,225.0825456,69449,293.9075768,0.827783454,0.005750345,]
[,67882,991.604,392.7362244,221.5486688,68565,293.9898753,0.867536894,0.005785572,]
[,67882,989.45,380.7966196,228.2109532,68501,293.9898753,0.871318204,0.005609685,]
[,67889,1009.017,381.7257559,229.9273035,69235,294.005033,0.837938816,0.005622792,]
[,67899,1004.907,396.0270267,220.1960738,68695,294.0266856,0.844931496,0.00583259,]
[,67909,1003.736,389.0970586,225.409806,69501,294.0483366,0.84702884,0.005729683,]
[,67916,989.997,362.8244276,240.0285348,68706,294.0634913,0.870791551,0.005342253,]
[,67922,1003.522,388.2469891,224.6437061,68623,294.0764805,0.847552353,0.005716071,]
[,67935,989.286,378.0667965,231.005289,68767,294.1046216,0.872287637,0.005565125,]
[,67943,1015.562,383.7381648,227.1051151,68691,294.121938,0.827831025,0.005647943,]
[,67953,991.332,385.5650943,225.9048187,68997,294.1435819,0.86892091,0.005673997,]
[,67976,995.582,382.4644112,229.656314,69399,294.193357,0.861809738,0.005626462,]
[,67987,1014.64,398.0008833,219.2147418,68693,294.2171595,0.829873283,0.005854073,]
[,68008,996.629,371.7058809,234.4417579,69070,294.2625952,0.860404805,0.00546562,]
[,68020,1007.399,396.924249,221.0941039,69372,294.2885554,0.842254734,0.005835405,]
[,68033,1005.269,384.9832288,226.3186333,68739,294.3166763,0.845989369,0.005658772,]
[,68043,1001.937,383.8083045,227.3561727,69027,294.3383059,0.851750678,0.005640673,]
[,68045,1028.051,401.0168658,217.5590453,69048,294.3426317,0.809052609,0.005893407,]
[,68068,990.337,385.2068488,227.2000155,68964,294.3923731,0.872141282,0.005659147,]
[,68100,1014.884,384.1957345,227.0617879,69047,294.4615645,0.830852947,0.005641641,]
[,68197,1008.009,368.3233216,238.7370585,69740,294.6712019,0.843424699,0.005400873,]
[,68226,1011.284,385.8758434,227.5336849,69707,294.733848,0.838327093,0.005655847,]
[,68234,988.005,383.9724637,228.1752131,69335,294.7511274,0.878400168,0.005627289,]
[,68256,1015.699,395.5950337,221.897243,69414,294.7986404,0.831420346,0.005795755,]
[,68264,1027.426,408.5483541,215.8187179,69822,294.8159159,0.812644299,0.005984829,]
[,68267,1020.269,400.8018836,218.3806915,68866,294.822394,0.824121605,0.005871093,]
[,68272,1007.016,398.6198542,219.9548112,68885,294.8331905,0.846018281,0.005838702,]
[,68291,1010.006,398.0005437,223.7605987,70414,294.8742134,0.841250681,0.005828009,]
[,68292,1035.332,402.7115718,218.4844239,69606,294.8763724,0.800608913,0.005896907,]
[,68324,1024.408,403.3133302,218.3846357,69905,294.9454503,0.818158083,0.005902953,]
[,68325,1008.586,388.1095479,227.1814888,69595,294.9476087,0.844041175,0.005680345,]
[,68330,1027.922,398.7044613,219.5707805,69292,294.9584006,0.812645178,0.005834984,]
[,68338,1004.376,383.9729287,228.4791543,69306,294.9756668,0.85129381,0.005618732,]
[,68345,1030.61,401.5475801,218.4324521,69433,294.9907739,0.808589147,0.005875303,]
[,68352,1003.918,399.5254213,219.8800951,69077,295.0058802,0.852245288,0.005845117,]
[,68367,1017.312,388.0458726,228.1223267,70183,295.0382483,0.830133715,0.005675924,]
[,68374,1009.761,392.1127583,222.8151817,68994,295.0533522,0.8426819,0.005734823,]
[,68385,1010.424,385.8246689,226.7409538,69205,295.0770853,0.841711787,0.005641949,]
[,68394,992.182,377.7808445,232.6215928,69082,295.0965019,0.87306219,0.005523596,]
[,68395,1008.539,381.9192243,230.7822059,69705,295.0986592,0.844984659,0.005584023,]
[,68400,1003.086,380.6843,231.1731654,69457,295.1094456,0.854259127,0.00556556,]
[,68400,1028.492,404.3096895,216.1529048,69136,295.1094456,0.81257626,0.00591096,]
[,68404,994.109,380.6200061,230.6562067,69150,295.1180744,0.869807907,0.005564295,]
[,68412,1000.541,382.7686783,231.4040488,69728,295.1353312,0.858761116,0.005595052,]
[,68435,1024.358,397.36528,222.357838,69877,295.1849391,0.819567274,0.005806463,]
[,68440,1016.553,396.8650159,224.8122633,70598,295.1957223,0.832261514,0.005798729,]
[,68443,1015.573,387.3241619,227.875152,69812,295.202192,0.83390506,0.005659076,]
[,68456,1021.462,393.3877979,223.1710944,69252,295.2302259,0.824473979,0.005746579,]
[,68485,992.387,383.0813168,228.2138816,69084,295.2927534,0.873862678,0.005593653,]
[,68496,991.032,385.057987,228.0131804,69171,295.3164673,0.876394652,0.005621613,]
[,68511,991.58,387.7710402,226.4845074,69130,295.3488013,0.875617945,0.005659982,]
[,68511,1014.54,393.7455185,223.5987805,69282,295.3488013,0.836434276,0.005747187,]
[,68545,1007.411,387.4447693,226.7165376,69351,295.4220787,0.848735304,0.005652415,]
[,68551,991.189,381.2139196,230.854313,69514,295.4350081,0.876820533,0.005561026,]
[,68552,1014.755,390.4415269,226.0322675,69827,295.437163,0.836580224,0.005695553,]
[,68562,984.765,384.871051,229.5108679,69637,295.4587106,0.888440059,0.005613475,]
[,68564,1007.341,393.5252982,223.2566146,69105,295.4630199,0.849088559,0.005739532,]
[,68566,1008.527,377.992253,234.0837482,69879,295.4673292,0.847117433,0.005512823,]
[,68590,1012.976,387.9502601,228.0039397,69600,295.5190356,0.839986594,0.005656076,]
[,68602,1028.917,393.7589285,223.1578972,69599,295.5448853,0.814302852,0.005739759,]
[,68609,996.685,380.2810679,231.0966916,69346,295.5599633,0.867910833,0.005542729,]
[,68629,992.208,379.4682852,232.654677,69870,295.6030391,0.876016096,0.00552927,]
[,68632,1009.219,390.7563616,226.2789454,69718,295.6094999,0.846770428,0.005693501,]
[,68634,1007.249,385.3609988,229.4238197,70059,295.613807,0.850110704,0.005614724,]
[,68650,1009.473,386.6385507,227.7943899,69527,295.6482619,0.846566328,0.005632026,]
[,68656,988.425,384.5531182,228.0544213,69175,295.6611814,0.883081768,0.005601158,]
[,68670,1050.566,413.9228612,212.2300571,69637,295.6913248,0.781862221,0.00602771,]
[,68671,1031.577,399.31993,222.3409906,70214,295.6934777,0.81092359,0.005814972,]
[,68678,1006.562,392.7843313,224.7520261,69759,295.7085482,0.851817272,0.005719216,]
[,68728,990.893,387.9058718,226.4992756,69493,295.8161717,0.87960978,0.005644073,]
[,68749,1027.807,406.8969801,216.8492256,69561,295.8613619,0.8178113,0.005918588,]
[,68749,1024.216,391.3524554,226.6710099,70178,295.8613619,0.823556004,0.005692482,]
[,68752,1025.143,403.6652478,218.4574089,69504,295.8678171,0.822103125,0.005871324,]
[,68814,1033.465,383.777292,232.0830135,70564,296.0011926,0.8096459,0.005577023,]
[,68837,1038.354,396.6017422,227.4859959,71427,296.0506554,0.802307623,0.005761462,]
[,68841,991.351,371.9841057,236.2008465,69365,296.0592567,0.880242101,0.005403526,]
[,68843,1007.263,391.8923946,225.7392283,69852,296.0635573,0.852675705,0.005692553,]
[,68879,1030.435,390.322355,227.4152121,70187,296.1409573,0.815183713,0.005666783,]
[,68888,1013.834,407.3993055,218.5901052,70240,296.1603042,0.842208726,0.005913937,]
[,68897,1027.553,400.6362934,220.5823919,69754,296.1796497,0.819977079,0.005815003,]
[,68932,1019.142,400.2697698,222.4790882,70319,296.2548705,0.833990961,0.005806734,]
[,68934,1013.374,400.5776187,221.3945774,70217,296.2591683,0.843536402,0.005811031,]
[,68938,1004.618,384.3498284,229.3453332,69770,296.2677636,0.858354391,0.005575297,]
[,68988,1015.946,384.3988557,230.8984362,70406,296.375184,0.839928213,0.005571967,]
[,68993,1025.729,397.6746265,222.3474964,69818,296.3859239,0.824042527,0.005763985,]
[,69016,1020.332,402.0536158,220.4554229,69950,296.4353225,0.833060676,0.005825513,]
[,69018,1036.307,403.3788349,219.2340715,69793,296.4396176,0.807598253,0.005844545,]
[,69020,1017.811,386.1991321,228.8595124,69789,296.4439127,0.837241098,0.005595467,]
[,69034,990.33,386.0383345,229.1118279,69937,296.4739765,0.884530946,0.005592003,]
[,69057,1015.989,398.4042886,222.611652,70214,296.5233604,0.84069712,0.005769209,]
[,69100,1011.142,377.8914472,233.9976046,70276,296.6156647,0.849304864,0.005468762,]
[,69110,986.633,358.5153661,246.5111808,69898,296.6371267,0.892153292,0.005187605,]
[,69135,1014.976,384.5559637,230.1083012,69901,296.6907749,0.843327544,0.005562392,]
[,69144,997.499,383.3073234,231.6006247,70302,296.7100859,0.873251672,0.005543609,]
[,69172,1010.033,392.1770149,225.7555362,69782,296.7701565,0.852057827,0.005669592,]
[,69189,1010.92,394.55423,225.4710506,70236,296.806622,0.850772298,0.005702557,]
[,69221,1034.794,420.1858938,212.6011487,70186,296.8752508,0.81234391,0.006070208,]
[,69272,1018.472,395.7520065,224.1743966,69978,296.9845951,0.83920759,0.005713015,]
[,69338,1015.684,406.0431256,218.5881833,69920,297.1260398,0.84462504,0.005855997,]
[,69343,1042.187,404.9235883,220.6554619,70228,297.1367526,0.802271173,0.00583943,]
[,69345,1024.41,394.1819523,225.7700803,70535,297.1410376,0.830380989,0.00568436,]
[,69371,996.596,380.2824066,234.1764383,70667,297.196737,0.877706955,0.005481864,]
[,69398,1009.124,392.7793368,225.9440829,70022,297.2545675,0.85638243,0.005659808,]
[,69411,992.04,377.0840491,235.0183466,70029,297.2824079,0.886298059,0.005432627,]
[,69441,1019.858,400.6709536,222.5306984,70363,297.3466449,0.838969971,0.005769948,]
[,69462,1001.839,376.0246721,238.4526609,70724,297.3916025,0.869683598,0.005413387,]
[,69471,1069.638,399.1002455,225.0057818,71088,297.410868,0.763026757,0.005744847,]
[,69478,999.119,380.0828991,234.9613656,70380,297.4258514,0.874626711,0.00547055,]
[,69479,1008.56,384.7246167,231.9380636,70402,297.4279918,0.858341169,0.005537279,]
[,69495,1013.931,396.3114601,226.131356,70728,297.4622365,0.849467212,0.005702733,]
[,69501,998.549,382.0129886,232.6773564,70342,297.4750773,0.875915386,0.005496511,]
[,69517,1018.42,390.3069197,227.7892748,70244,297.5093165,0.842261689,0.005614554,]
[,69518,1013.957,393.94202,228.4296567,71385,297.5114564,0.849704773,0.005666763,]
[,69542,1009.509,389.8981014,229.6148576,70904,297.5628075,0.857504979,0.005606656,]
[,69544,1022.185,392.1333697,227.1798887,70244,297.5670864,0.836393258,0.005638637,]
[,69545,996.279,382.5603879,232.859284,70165,297.5692258,0.8804685,0.005500904,]
[,69566,1014.055,397.0148072,226.1333629,71239,297.6141498,0.850127128,0.005707024,]
[,69586,1028.61,396.0922413,227.7141853,71604,297.6569283,0.826476011,0.005692125,]
[,69589,994.969,376.5211208,237.2792032,70481,297.6633445,0.883347044,0.005410641,]
[,69600,1009.582,396.9247148,225.5600601,70818,297.6868696,0.858096056,0.005702941,]
[,69609,997.88,392.4624072,226.3016669,70137,297.7061159,0.878453185,0.005638099,]
[,69623,1009.02,379.5493203,234.1251722,70383,297.7360523,0.859336082,0.005451493,]
[,69624,1048.166,417.3255655,216.0689569,70971,297.7381905,0.796358644,0.00599399,]
[,69637,1008.888,393.4145063,227.6931827,70819,297.7659856,0.859733806,0.005649504,]
[,69648,1038.597,400.3222294,224.724079,71221,297.7895025,0.811380164,0.005747792,]
[,69655,1015.666,394.0279856,226.1441707,70262,297.8044669,0.848516578,0.005656851,]
[,69667,1035.546,404.8892675,222.0585678,71209,297.8301183,0.816390951,0.00581178,]
[,69674,1015.799,400.528512,224.1791261,70720,297.8450806,0.848525789,0.005748608,]
[,69693,1028.815,401.549167,223.9066604,71239,297.8856888,0.827417017,0.005761686,]
[,69728,1020.06,386.0452276,232.194347,70902,297.9604789,0.842103819,0.005536445,]
[,69756,1023.746,404.0026819,223.4443692,70822,298.0202974,0.836386467,0.005791655,]
[,69810,1022.531,400.0841038,223.7557422,70894,298.1356279,0.839024293,0.005731043,]
[,69819,1001.884,383.379959,234.0775761,71154,298.1548453,0.874074814,0.005491055,]
[,69825,1023.473,392.197274,229.0439144,71138,298.1676562,0.837660483,0.00561686,]
